Name,Skills,Skill_Levels,Interests,Experience,Recommended_Career,Average_Salary
User_8825,Graphic Design;UI/UX Design;Python;Big Data,Pro;Beginner;Pro;Intermediate,Cloud;Design,3,Content Strategist,55000
User_5167,Digital Marketing;Machine Learning,Expert;Expert,Marketing,3,Data Scientist,100000
User_3857,C++;Cloud Computing;Java;Graphic Design,Pro;Intermediate;Pro;Expert,Business,2,Backend Developer,90000
User_2436,Accounting;DevOps;Big Data,Pro;Beginner;Pro,Marketing;Environment,0,Graphic Designer,55000
User_6403,Digital Marketing;Finance;Project Management;Customer Service,Beginner;Expert;Expert;Intermediate,Design;Cloud,3,UI/UX Designer,70000
User_2562,Content Writing;Data Analysis,Pro;Beginner,Education;AI,9,Customer Support Specialist,45000
User_2373,Graphic Design;Customer Service;Project Management;Java,Beginner;Pro;Beginner;Beginner,Education;Healthcare,8,UI/UX Designer,70000
User_4361,Cloud Computing;Cybersecurity;Customer Service,Expert;Pro;Intermediate,Finance,2,Data Scientist,100000
User_3403,Networking;Big Data;Accounting;Python,Beginner;Intermediate;Pro;Intermediate,AI;Media,4,Technical Writer,60000
User_1884,UI/UX Design;Java,Pro;Beginner,Education,6,Data Scientist,100000
User_5700,UI/UX Design;Machine Learning,Pro;Pro,Education;Design,2,Big Data Engineer,110000
User_7353,Customer Service;Accounting;Python,Beginner;Pro;Intermediate,Marketing,4,Technical Writer,60000
User_7989,Blockchain;Big Data;DevOps,Pro;Expert;Pro,Gaming;Environment,9,Technical Writer,60000
User_1835,JavaScript;Cloud Computing,Expert;Intermediate,Healthcare;Tech,3,Accountant,65000
User_6690,Project Management;Big Data;SQL;JavaScript,Expert;Pro;Expert;Expert,Education;Analytics,5,Technical Writer,60000
User_3231,JavaScript;Cybersecurity;Data Analysis;C++,Beginner;Expert;Expert;Intermediate,Education;Environment,6,Blockchain Developer,115000
User_1959,SQL;Blockchain;Project Management,Intermediate;Pro;Expert,Finance,5,Customer Support Specialist,45000
User_7674,SEO;Networking;Data Analysis;Deep Learning,Expert;Pro;Intermediate;Expert,Cloud,9,Content Strategist,55000
User_3279,Digital Marketing;Deep Learning;Networking;C++,Intermediate;Expert;Intermediate;Pro,Analytics;Healthcare,10,Digital Marketer,60000
User_2426,SEO;Machine Learning,Intermediate;Pro,Gaming;Design,4,Technical Writer,60000
User_2463,Networking;Data Analysis;Big Data;Graphic Design,Pro;Intermediate;Pro;Intermediate,Environment,1,UI/UX Designer,70000
User_2101,Cloud Computing;Project Management;Cybersecurity;Networking,Expert;Beginner;Expert;Pro,Healthcare,10,Machine Learning Engineer,110000
User_7507,Project Management;Cloud Computing;Deep Learning;SQL,Intermediate;Beginner;Expert;Pro,Environment;Healthcare,7,Content Strategist,55000
User_6986,UI/UX Design;Machine Learning;DevOps,Beginner;Beginner;Beginner,Cloud;Gaming,3,Accountant,65000
User_1340,UI/UX Design;Java,Pro;Beginner,Security,9,Digital Marketer,60000
User_4507,Customer Service;UI/UX Design;Data Analysis,Pro;Expert;Beginner,Finance,10,Big Data Engineer,110000
User_4584,SQL;Finance,Pro;Intermediate,AI;Media,3,Technical Writer,60000
User_2440,Digital Marketing;Content Writing;Data Analysis;JavaScript,Pro;Expert;Expert;Pro,Tech;Environment,1,Cybersecurity Analyst,95000
User_9735,Python;DevOps,Beginner;Pro,Education,0,Accountant,65000
User_5934,Project Management;Content Writing;JavaScript;Accounting,Expert;Intermediate;Expert;Beginner,Media;Education,0,Technical Writer,60000
User_3539,Python;C++;DevOps;Networking,Pro;Intermediate;Intermediate;Pro,Tech,1,Graphic Designer,55000
User_1272,Machine Learning;SQL;Networking;Data Analysis,Intermediate;Pro;Beginner;Beginner,Media,1,Accountant,65000
User_9927,Cloud Computing;Big Data;Digital Marketing;C++,Intermediate;Expert;Beginner;Pro,Security,6,Customer Support Specialist,45000
User_2607,Python;Deep Learning;SEO;Cloud Computing,Beginner;Beginner;Beginner;Pro,AI,1,Network Engineer,85000
User_3164,Networking;Digital Marketing;Project Management,Intermediate;Expert;Beginner,Healthcare;Marketing,7,DevOps Engineer,100000
User_5088,C++;Networking;SEO;JavaScript,Expert;Pro;Intermediate;Expert,Security,3,DevOps Engineer,100000
User_8604,C++;UI/UX Design,Pro;Beginner,Business,5,DevOps Engineer,100000
User_7582,Digital Marketing;DevOps;Networking,Expert;Pro;Pro,Tech;Education,10,Blockchain Developer,115000
User_3947,Big Data;Customer Service;Accounting;Content Writing,Expert;Pro;Beginner;Expert,AI,0,Technical Writer,60000
User_8995,DevOps;Big Data;Blockchain,Beginner;Pro;Pro,Cloud;Media,3,DevOps Engineer,100000
User_9010,Deep Learning;Networking;Java;Data Analysis,Pro;Pro;Beginner;Intermediate,AI;Marketing,7,DevOps Engineer,100000
User_7482,Deep Learning;SQL;Graphic Design,Beginner;Pro;Beginner,AI,10,Network Engineer,85000
User_9925,Data Analysis;SEO;Cloud Computing;UI/UX Design,Expert;Beginner;Pro;Intermediate,Business,9,Project Manager,95000
User_7891,Machine Learning;Blockchain;Cloud Computing;Cybersecurity,Expert;Expert;Pro;Pro,Education,7,Digital Marketer,60000
User_2121,SQL;UI/UX Design;JavaScript,Pro;Beginner;Pro,Tech,9,UI/UX Designer,70000
User_4249,Java;SEO,Beginner;Intermediate,Healthcare,5,Content Strategist,55000
User_3197,JavaScript;Java,Pro;Expert,Healthcare;Analytics,2,Graphic Designer,55000
User_3587,C++;Customer Service;SQL;UI/UX Design,Beginner;Expert;Intermediate;Beginner,Gaming,4,Frontend Developer,85000
User_5075,Content Writing;SQL;Networking;Big Data,Intermediate;Beginner;Intermediate;Intermediate,Education;Finance,3,SEO Specialist,58000
User_4350,Content Writing;Finance,Expert;Intermediate,Tech,8,Machine Learning Engineer,110000
User_5325,Customer Service;Python,Pro;Beginner,Cloud,2,Network Engineer,85000
User_1768,Digital Marketing;UI/UX Design,Expert;Pro,Environment;Cloud,4,Accountant,65000
User_2388,Accounting;JavaScript;Content Writing;Cybersecurity,Intermediate;Beginner;Intermediate;Intermediate,Media;Education,0,Machine Learning Engineer,110000
User_6689,JavaScript;Digital Marketing;Graphic Design,Beginner;Pro;Intermediate,Security,5,Frontend Developer,85000
User_7392,Networking;Python;Big Data,Intermediate;Pro;Intermediate,Environment;Security,4,SEO Specialist,58000
User_6739,Blockchain;UI/UX Design;Finance,Expert;Pro;Intermediate,Tech;Environment,2,SEO Specialist,58000
User_4483,Deep Learning;Big Data;Customer Service,Expert;Pro;Beginner,Business,10,Cloud Engineer,105000
User_3261,Customer Service;JavaScript;DevOps;Finance,Intermediate;Expert;Beginner;Intermediate,Finance,0,Data Scientist,100000
User_1337,Finance;Machine Learning,Intermediate;Pro,Gaming,5,Frontend Developer,85000
User_7904,Accounting;Machine Learning,Expert;Pro,Finance;AI,3,Financial Analyst,75000
User_5513,Content Writing;Big Data;Blockchain;Project Management,Pro;Pro;Intermediate;Expert,Design;Healthcare,9,Cloud Engineer,105000
User_7615,Customer Service;Java;Blockchain,Pro;Intermediate;Pro,Cloud;Tech,1,Cloud Engineer,105000
User_8382,Cloud Computing;SQL,Expert;Pro,Marketing,9,Accountant,65000
User_7816,Big Data;Cybersecurity;Content Writing;Java,Expert;Expert;Expert;Intermediate,Cloud;Design,2,Project Manager,95000
User_3025,DevOps;C++;Digital Marketing,Expert;Intermediate;Pro,Finance;Marketing,3,Technical Writer,60000
User_5434,UI/UX Design;Big Data,Pro;Expert,Finance,2,Cybersecurity Analyst,95000
User_4788,Machine Learning;UI/UX Design;Big Data;Digital Marketing,Expert;Expert;Intermediate;Beginner,Cloud;Healthcare,10,Blockchain Developer,115000
User_4709,DevOps;Cloud Computing,Pro;Expert,Healthcare,9,Backend Developer,90000
User_8445,Deep Learning;Digital Marketing;Content Writing;SEO,Intermediate;Pro;Intermediate;Intermediate,Education,1,Frontend Developer,85000
User_3711,Accounting;SEO,Expert;Beginner,Security;Marketing,5,Financial Analyst,75000
User_4110,Java;DevOps;Machine Learning;Networking,Pro;Intermediate;Beginner;Beginner,Healthcare;Design,8,Network Engineer,85000
User_5871,Cybersecurity;Java,Pro;Intermediate,Environment,5,Technical Writer,60000
User_4604,Machine Learning;Big Data;Python,Intermediate;Expert;Pro,Design,1,Cloud Engineer,105000
User_6068,JavaScript;Blockchain;SEO,Beginner;Expert;Intermediate,Finance,8,Technical Writer,60000
User_8288,Java;DevOps;Accounting;Graphic Design,Beginner;Intermediate;Intermediate;Beginner,Tech,2,Customer Support Specialist,45000
User_7067,Java;Cloud Computing,Pro;Intermediate,Environment,3,Cloud Engineer,105000
User_2279,Digital Marketing;Finance;JavaScript;Python,Beginner;Expert;Beginner;Expert,Education,2,Financial Analyst,75000
User_5037,Project Management;Big Data,Pro;Beginner,Design;Finance,8,Accountant,65000
User_9162,C++;Networking;SQL;Project Management,Beginner;Pro;Expert;Beginner,Environment,4,Network Engineer,85000
User_7455,C++;Java,Pro;Expert,Security;Business,3,Cybersecurity Analyst,95000
User_3926,Networking;JavaScript;Digital Marketing,Intermediate;Beginner;Intermediate,AI,2,Financial Analyst,75000
User_9871,Networking;Digital Marketing;Graphic Design,Beginner;Pro;Pro,Media,0,Machine Learning Engineer,110000
User_6469,Java;Cloud Computing;JavaScript;Project Management,Beginner;Pro;Expert;Beginner,Business,5,Accountant,65000
User_5654,Project Management;Machine Learning;DevOps;Accounting,Intermediate;Pro;Pro;Beginner,Healthcare,5,SEO Specialist,58000
User_5958,Python;Networking;JavaScript;Java,Expert;Beginner;Expert;Expert,Finance;Education,10,SEO Specialist,58000
User_5455,Customer Service;Finance;DevOps;Content Writing,Intermediate;Beginner;Expert;Expert,Security,5,Technical Writer,60000
User_7879,Customer Service;SQL;Content Writing;Java,Pro;Beginner;Intermediate;Intermediate,Business;AI,2,Network Engineer,85000
User_5839,UI/UX Design;Accounting;Python;Customer Service,Pro;Beginner;Expert;Expert,AI;Education,7,Backend Developer,90000
User_5475,Finance;Cybersecurity;Networking;Project Management,Pro;Expert;Expert;Intermediate,Media,4,Data Scientist,100000
User_1298,Big Data;Networking,Beginner;Beginner,Healthcare,10,Project Manager,95000
User_7482,JavaScript;SEO;Python,Beginner;Beginner;Pro,Environment,9,Customer Support Specialist,45000
User_9439,Content Writing;Blockchain;C++;Customer Service,Expert;Beginner;Pro;Intermediate,Design,7,Accountant,65000
User_9098,Blockchain;Customer Service;Networking;Digital Marketing,Intermediate;Intermediate;Intermediate;Beginner,Education;Business,3,DevOps Engineer,100000
User_2356,Data Analysis;Graphic Design;C++;Blockchain,Beginner;Pro;Beginner;Pro,Healthcare;Finance,3,Backend Developer,90000
User_2888,C++;Blockchain;JavaScript;Networking,Intermediate;Expert;Beginner;Beginner,Gaming;Education,9,UI/UX Designer,70000
User_6041,Cloud Computing;Content Writing,Beginner;Expert,Cloud,4,Content Strategist,55000
User_7368,JavaScript;Big Data;Data Analysis;Java,Intermediate;Pro;Pro;Pro,Design,6,Project Manager,95000
User_4033,Machine Learning;Java;Big Data;JavaScript,Pro;Beginner;Pro;Expert,Media;Cloud,9,Network Engineer,85000
User_9744,Blockchain;Cloud Computing;Java;SQL,Pro;Intermediate;Pro;Expert,Environment;Cloud,10,Accountant,65000
User_2392,Project Management;Deep Learning;Accounting,Beginner;Beginner;Pro,AI,8,DevOps Engineer,100000
User_1180,Cloud Computing;Data Analysis;Accounting;UI/UX Design,Intermediate;Pro;Expert;Expert,Marketing;AI,9,DevOps Engineer,100000
User_9928,C++;Blockchain;Deep Learning;Cybersecurity,Expert;Intermediate;Pro;Pro,Environment,2,SEO Specialist,58000
User_8855,Finance;Networking,Beginner;Intermediate,Healthcare,7,Digital Marketer,60000
User_4166,Machine Learning;Content Writing;Graphic Design;Deep Learning,Pro;Expert;Pro;Intermediate,Cloud,2,SEO Specialist,58000
User_1705,Content Writing;Java;SQL;Deep Learning,Expert;Expert;Beginner;Beginner,Education;Marketing,5,Digital Marketer,60000
User_7696,JavaScript;Cybersecurity,Pro;Beginner,Tech,6,UI/UX Designer,70000
User_1022,Project Management;Python;Deep Learning,Pro;Expert;Expert,AI,4,Graphic Designer,55000
User_5670,SEO;Project Management,Beginner;Intermediate,Gaming;Design,8,Digital Marketer,60000
User_2180,Cybersecurity;Deep Learning,Beginner;Beginner,Environment,10,SEO Specialist,58000
User_2631,Customer Service;Graphic Design;C++;Blockchain,Beginner;Intermediate;Intermediate;Intermediate,Cloud;Marketing,0,Technical Writer,60000
User_4637,Python;SEO;Digital Marketing,Expert;Expert;Intermediate,Tech;Design,6,Financial Analyst,75000
User_6103,Content Writing;Cloud Computing;Big Data,Pro;Beginner;Expert,Security;Business,7,DevOps Engineer,100000
User_5118,SQL;Customer Service,Intermediate;Expert,Tech,6,Graphic Designer,55000
User_7035,Big Data;SEO;UI/UX Design;SQL,Intermediate;Expert;Pro;Beginner,Environment;Media,9,SEO Specialist,58000
User_5778,Data Analysis;Project Management;Java,Expert;Intermediate;Pro,Business;AI,7,Content Strategist,55000
User_5580,Machine Learning;Java,Intermediate;Beginner,Media;Environment,10,Customer Support Specialist,45000
User_4573,UI/UX Design;Accounting,Pro;Expert,AI;Media,6,Graphic Designer,55000
User_4698,Accounting;UI/UX Design;Project Management,Expert;Beginner;Pro,Education;Cloud,1,Digital Marketer,60000
User_2135,Customer Service;Networking;Digital Marketing,Pro;Intermediate;Pro,AI,4,Backend Developer,90000
User_4235,UI/UX Design;Content Writing;Java;Data Analysis,Intermediate;Beginner;Intermediate;Intermediate,Design;Finance,10,Machine Learning Engineer,110000
User_9964,Project Management;JavaScript;Data Analysis;Java,Expert;Pro;Expert;Expert,Security,2,Financial Analyst,75000
User_1146,Python;Customer Service;C++;Networking,Intermediate;Beginner;Beginner;Pro,Healthcare;Business,1,Graphic Designer,55000
User_1145,C++;DevOps,Pro;Pro,Environment,8,Frontend Developer,85000
User_6234,SQL;C++;Big Data,Beginner;Pro;Beginner,Environment;Cloud,5,Data Scientist,100000
User_5115,Python;UI/UX Design,Intermediate;Expert,Media,9,Cloud Engineer,105000
User_8416,Blockchain;Content Writing,Expert;Beginner,Marketing;Business,10,Frontend Developer,85000
User_2771,Digital Marketing;C++,Intermediate;Beginner,Cloud;Analytics,0,Cybersecurity Analyst,95000
User_4961,Machine Learning;Cloud Computing;Project Management;SEO,Intermediate;Intermediate;Beginner;Expert,Analytics;Marketing,6,Content Strategist,55000
User_3394,C++;Java;Python;Customer Service,Beginner;Intermediate;Beginner;Intermediate,Design;Tech,0,Big Data Engineer,110000
User_6158,SQL;JavaScript;Finance,Pro;Pro;Pro,Cloud,7,Big Data Engineer,110000
User_5431,SEO;Blockchain,Intermediate;Beginner,Cloud;Marketing,7,Network Engineer,85000
User_8830,C++;Cloud Computing;Content Writing,Intermediate;Expert;Pro,Marketing,2,Digital Marketer,60000
User_3712,Java;Finance,Expert;Intermediate,AI,7,Data Scientist,100000
User_6338,Digital Marketing;Customer Service;Accounting,Intermediate;Intermediate;Intermediate,Media;Cloud,3,Digital Marketer,60000
User_5665,Python;SEO;Customer Service,Beginner;Beginner;Expert,Healthcare;Cloud,8,DevOps Engineer,100000
User_7813,Graphic Design;SQL;Data Analysis,Pro;Pro;Expert,Design,4,Network Engineer,85000
User_8618,UI/UX Design;SEO;Graphic Design;Project Management,Expert;Beginner;Intermediate;Expert,Design,6,SEO Specialist,58000
User_3648,Accounting;Finance,Pro;Intermediate,Business;Healthcare,10,Big Data Engineer,110000
User_9824,Project Management;JavaScript;DevOps,Intermediate;Expert;Expert,Media;Design,7,Blockchain Developer,115000
User_1919,SEO;Machine Learning;Data Analysis,Pro;Intermediate;Expert,Education,6,UI/UX Designer,70000
User_5277,SQL;Content Writing;Graphic Design,Expert;Pro;Expert,Environment;Design,9,Project Manager,95000
User_6361,UI/UX Design;DevOps;JavaScript,Expert;Beginner;Beginner,Healthcare,2,Accountant,65000
User_4939,Content Writing;Deep Learning,Expert;Pro,Gaming;Healthcare,6,Content Strategist,55000
User_8139,Networking;Cloud Computing,Expert;Beginner,Healthcare,3,Machine Learning Engineer,110000
User_9110,Blockchain;Customer Service,Intermediate;Expert,Education;AI,8,Financial Analyst,75000
User_3696,SEO;Cloud Computing,Expert;Beginner,Media,6,Project Manager,95000
User_4539,Python;Cloud Computing,Beginner;Beginner,AI,5,Digital Marketer,60000
User_2318,SEO;Machine Learning;SQL;Graphic Design,Beginner;Intermediate;Intermediate;Pro,Education;Business,5,SEO Specialist,58000
User_3519,C++;Graphic Design;Machine Learning;Digital Marketing,Expert;Expert;Beginner;Intermediate,Finance;Education,4,Digital Marketer,60000
User_4212,Cloud Computing;Finance;UI/UX Design;JavaScript,Beginner;Intermediate;Intermediate;Expert,AI,2,Machine Learning Engineer,110000
User_3740,DevOps;SQL,Intermediate;Beginner,Business,5,DevOps Engineer,100000
User_6841,Digital Marketing;Python,Pro;Expert,Education;Gaming,0,Frontend Developer,85000
User_8480,Big Data;Cloud Computing;Graphic Design,Pro;Beginner;Pro,Security;Media,8,Digital Marketer,60000
User_6823,DevOps;Customer Service,Beginner;Pro,Analytics;AI,10,Graphic Designer,55000
User_7470,Cybersecurity;JavaScript;UI/UX Design,Beginner;Intermediate;Intermediate,AI,0,Project Manager,95000
User_9009,Java;Cybersecurity;DevOps,Beginner;Pro;Expert,AI,7,SEO Specialist,58000
User_1839,Cloud Computing;Finance,Pro;Pro,Cloud;Environment,3,Technical Writer,60000
User_8673,UI/UX Design;Blockchain;Java,Intermediate;Beginner;Pro,Cloud;Healthcare,7,Big Data Engineer,110000
User_8726,Blockchain;DevOps,Expert;Expert,Finance;Gaming,9,Data Scientist,100000
User_5868,Networking;Customer Service;Accounting,Beginner;Pro;Pro,Tech;Business,4,Frontend Developer,85000
User_1754,Data Analysis;Cybersecurity,Intermediate;Expert,Finance;Environment,4,Project Manager,95000
User_2628,Digital Marketing;Finance;Project Management;Networking,Beginner;Pro;Expert;Intermediate,AI;Environment,7,Financial Analyst,75000
User_5152,Networking;Graphic Design;Python,Intermediate;Beginner;Pro,Analytics;Business,2,UI/UX Designer,70000
User_9071,JavaScript;SEO;Machine Learning;Accounting,Pro;Expert;Expert;Beginner,Environment;Business,4,Financial Analyst,75000
User_9819,Digital Marketing;Finance;Cloud Computing,Pro;Intermediate;Expert,Cloud;Security,7,Cloud Engineer,105000
User_2554,Project Management;Customer Service;Cybersecurity,Beginner;Pro;Expert,Design,5,Data Scientist,100000
User_5258,Deep Learning;Accounting;Machine Learning;Cybersecurity,Expert;Expert;Beginner;Beginner,Design;Business,2,Project Manager,95000
User_5931,Content Writing;Project Management;Python;Graphic Design,Intermediate;Intermediate;Expert;Beginner,Security,0,Project Manager,95000
User_8998,Content Writing;Digital Marketing;Finance,Intermediate;Beginner;Expert,Environment,7,Graphic Designer,55000
User_9853,Accounting;Java;Digital Marketing;Cloud Computing,Beginner;Pro;Intermediate;Beginner,Environment,8,Data Scientist,100000
User_3861,Networking;Content Writing;UI/UX Design;JavaScript,Pro;Expert;Intermediate;Beginner,Business;Design,3,Machine Learning Engineer,110000
User_6737,Blockchain;Accounting;UI/UX Design,Pro;Beginner;Pro,Design;Finance,8,Network Engineer,85000
User_5525,Digital Marketing;JavaScript;Machine Learning,Pro;Intermediate;Beginner,Analytics,3,SEO Specialist,58000
User_1759,Graphic Design;DevOps;Content Writing,Intermediate;Beginner;Expert,Media;Tech,10,SEO Specialist,58000
User_8815,DevOps;Finance;Customer Service;UI/UX Design,Intermediate;Intermediate;Pro;Expert,Analytics,6,Cybersecurity Analyst,95000
User_9710,Deep Learning;SEO;Networking;Customer Service,Pro;Intermediate;Intermediate;Pro,Education,7,Digital Marketer,60000
User_5090,Content Writing;Blockchain;Python,Expert;Beginner;Expert,Gaming,3,Customer Support Specialist,45000
User_4712,Data Analysis;SQL;UI/UX Design,Intermediate;Expert;Expert,Marketing,7,Customer Support Specialist,45000
User_8344,JavaScript;Finance;Deep Learning;SQL,Pro;Pro;Beginner;Intermediate,Education;Media,10,Financial Analyst,75000
User_5769,Accounting;Java;JavaScript,Expert;Beginner;Beginner,Healthcare,0,DevOps Engineer,100000
User_7712,Blockchain;Machine Learning;Content Writing;JavaScript,Beginner;Expert;Intermediate;Expert,Security;Media,0,SEO Specialist,58000
User_5134,Accounting;Machine Learning;Graphic Design,Expert;Beginner;Beginner,Environment;Education,4,SEO Specialist,58000
User_1376,Networking;Customer Service;Digital Marketing;Data Analysis,Pro;Beginner;Expert;Expert,Business;Media,1,Cybersecurity Analyst,95000
User_6055,C++;Content Writing;DevOps,Beginner;Beginner;Expert,Healthcare,7,DevOps Engineer,100000
User_2327,Cybersecurity;C++;Digital Marketing,Pro;Expert;Pro,Design,1,Project Manager,95000
User_8648,Cloud Computing;Python;Java;SEO,Intermediate;Pro;Beginner;Beginner,Environment,1,Technical Writer,60000
User_5703,Finance;Graphic Design;Big Data,Intermediate;Pro;Expert,Analytics;Environment,1,Customer Support Specialist,45000
User_3166,Networking;JavaScript;Project Management,Beginner;Beginner;Beginner,Education;Business,6,Customer Support Specialist,45000
User_6842,Big Data;Blockchain;Customer Service;Java,Intermediate;Intermediate;Beginner;Beginner,Environment,5,SEO Specialist,58000
User_2308,Customer Service;Project Management;Machine Learning;Finance,Expert;Intermediate;Beginner;Beginner,Education;Marketing,2,SEO Specialist,58000
User_8574,Python;Customer Service;SQL,Pro;Expert;Pro,Media,1,Customer Support Specialist,45000
User_6767,DevOps;Digital Marketing;Networking,Pro;Beginner;Intermediate,Media,2,Big Data Engineer,110000
User_8704,SEO;Cloud Computing;Cybersecurity;Java,Pro;Expert;Beginner;Intermediate,AI,5,Cloud Engineer,105000
User_8936,Machine Learning;Graphic Design;Content Writing,Pro;Expert;Expert,Healthcare,3,UI/UX Designer,70000
User_1678,UI/UX Design;Python;Networking,Expert;Intermediate;Intermediate,Analytics,7,Data Scientist,100000
User_1517,Networking;Cloud Computing,Pro;Pro,Environment,1,Frontend Developer,85000
User_5733,SEO;Python;Cybersecurity;Finance,Expert;Pro;Pro;Pro,Finance,2,Network Engineer,85000
User_4005,Machine Learning;Accounting;Big Data,Beginner;Intermediate;Beginner,Gaming,8,Data Scientist,100000
User_3456,Digital Marketing;Deep Learning;Data Analysis,Intermediate;Pro;Intermediate,Business,3,Project Manager,95000
User_9965,Cloud Computing;Graphic Design;UI/UX Design,Expert;Pro;Beginner,Gaming,5,Machine Learning Engineer,110000
User_7534,Deep Learning;Machine Learning,Pro;Intermediate,Cloud;Healthcare,4,Content Strategist,55000
User_5636,Java;Big Data;Content Writing,Expert;Expert;Expert,AI,0,Digital Marketer,60000
User_5961,JavaScript;Data Analysis;C++;Accounting,Pro;Beginner;Expert;Pro,Business;Media,3,Project Manager,95000
User_9869,Accounting;DevOps;Digital Marketing,Beginner;Intermediate;Pro,Media;Business,1,Financial Analyst,75000
User_7524,Machine Learning;Big Data,Expert;Intermediate,Education,9,Technical Writer,60000
User_8757,C++;Finance,Pro;Beginner,Tech,7,Financial Analyst,75000
User_8060,Accounting;UI/UX Design,Intermediate;Expert,Security;Finance,0,Machine Learning Engineer,110000
User_5783,Data Analysis;Customer Service,Intermediate;Intermediate,Business,6,Technical Writer,60000
User_5128,Graphic Design;Digital Marketing,Intermediate;Beginner,Gaming,8,UI/UX Designer,70000
User_9381,SQL;Python;DevOps,Intermediate;Pro;Intermediate,Gaming;AI,4,Blockchain Developer,115000
User_5259,SQL;Content Writing,Intermediate;Pro,Marketing;AI,5,Project Manager,95000
